split,pair_key,category,pair_id,attack_length,control_length,common_length,window,stride,window_count_per_member,first_window_start,last_window_start,last_window_end_exclusive,attack_native_window_count,control_native_window_count,attack_windows_removed,control_windows_removed,identical_ordered_window_starts
train,P2TR-K1-001,k1_local,V5-P2-FINAL640-P2TR-K1-001-S5T5-SEED620001,722,722,722,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-002,k1_local,V5-P2-FINAL640-P2TR-K1-002-S1T1-SEED620002,707,707,707,32,8,85,0,672,704,85,85,0,0,True
train,P2TR-K1-003,k1_local,V5-P2-FINAL640-P2TR-K1-003-S9T9-SEED620003,714,714,714,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-004,k1_local,V5-P2-FINAL640-P2TR-K1-004-S10T10-SEED620004,725,725,725,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-005,k1_local,V5-P2-FINAL640-P2TR-K1-005-S15T15-SEED620005,701,702,701,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-006,k1_local,V5-P2-FINAL640-P2TR-K1-006-S13T13-SEED620006,711,711,711,32,8,85,0,672,704,85,85,0,0,True
train,P2TR-K1-007,k1_local,V5-P2-FINAL640-P2TR-K1-007-S12T12-SEED620007,695,695,695,32,8,83,0,656,688,83,83,0,0,True
train,P2TR-K1-008,k1_local,V5-P2-FINAL640-P2TR-K1-008-S6T6-SEED620008,716,716,716,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-009,k1_one_hop,V5-P2-FINAL640-P2TR-K1-009-S11T7-SEED620009,703,703,703,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-010,k1_one_hop,V5-P2-FINAL640-P2TR-K1-010-S7T3-SEED620010,703,703,703,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-011,k1_one_hop,V5-P2-FINAL640-P2TR-K1-011-S4T8-SEED620011,701,701,701,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-012,k1_one_hop,V5-P2-FINAL640-P2TR-K1-012-S8T4-SEED620012,712,712,712,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-013,k1_one_hop,V5-P2-FINAL640-P2TR-K1-013-S0T4-SEED620013,700,699,699,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-014,k1_one_hop,V5-P2-FINAL640-P2TR-K1-014-S5T9-SEED620014,722,722,722,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-015,k1_one_hop,V5-P2-FINAL640-P2TR-K1-015-S9T13-SEED620015,714,714,714,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-016,k1_one_hop,V5-P2-FINAL640-P2TR-K1-016-S5T6-SEED620016,722,722,722,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-017,k1_one_hop,V5-P2-FINAL640-P2TR-K1-017-S14T15-SEED620017,703,703,703,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-018,k1_one_hop,V5-P2-FINAL640-P2TR-K1-018-S7T11-SEED620018,703,703,703,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-019,k1_one_hop,V5-P2-FINAL640-P2TR-K1-019-S10T14-SEED620019,725,725,725,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-020,k1_one_hop,V5-P2-FINAL640-P2TR-K1-020-S3T2-SEED620020,700,700,700,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-021,k1_one_hop,V5-P2-FINAL640-P2TR-K1-021-S6T5-SEED620021,716,716,716,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-022,k1_one_hop,V5-P2-FINAL640-P2TR-K1-022-S6T2-SEED620022,716,716,716,32,8,86,0,680,712,86,86,0,0,True
train,P2TR-K1-023,k1_one_hop,V5-P2-FINAL640-P2TR-K1-023-S8T12-SEED620023,711,712,711,32,8,85,0,672,704,85,86,0,1,True
train,P2TR-K1-024,k1_one_hop,V5-P2-FINAL640-P2TR-K1-024-S1T0-SEED620024,707,707,707,32,8,85,0,672,704,85,85,0,0,True
train,P2TR-K1-025,k1_one_hop,V5-P2-FINAL640-P2TR-K1-025-S4T0-SEED620025,701,701,701,32,8,84,0,664,696,84,84,0,0,True
train,P2TR-K1-026,k1_one_hop,V5-P2-FINAL640-P2TR-K1-026-S2T3-SEED620026,706,705,705,32,8,85,0,672,704,85,85,0,0,True
train,P2TR-K1-027,k1_one_hop,V5-P2-FINAL640-P2TR-K1-027-S10T9-SEED620027,725,725,725,32,8,87,0,688,720,87,87,0,0,True
train,P2TR-K1-028,k1_one_hop,V5-P2-FINAL640-P2TR-K1-028-S5T1-SEED620028,722,722,722,32,8,87,0,688,720,87,87,0,0,True
