operator,seed,best_epoch,selection_score,selected_threshold,threshold_objective,source_average_precision,source_auroc,source_f1,source_precision,source_recall,source_fpr,exact_set_attack,exact_set_overall,derived_graph_average_precision,derived_graph_auroc,derived_graph_balanced_accuracy,derived_graph_f1,derived_graph_fpr,parameter_count,total_linear_macs,graph_message_scalar_ops,peak_cuda_memory_allocated_bytes,inference_microseconds_per_item,total_training_seconds
conv1d,107,41,0.7262670287538535,0.612,0.7484514750841584,0.6387839532385826,0.9847738652162644,0.707226782552712,0.5639840841997176,0.9480043149946062,0.03553756185335133,0.8102885138813283,0.6865421455938697,0.6427263433219844,0.8766652835159712,0.8102476280369422,0.6879513492968453,0.3648068669527897,28353,10791424,0,667427840,49.40293406249907,1392.9791159629822
conv1d,117,32,0.719087365936411,0.777,0.7494698532177917,0.6301004743702885,0.9843747976760855,0.7054764292878636,0.5616097093580326,0.948435814455232,0.03589848204291289,0.8154599891126837,0.6890964240102171,0.6317737173289816,0.8721286455571106,0.8122065825840568,0.6899239543726235,0.36333860402078155,28353,10791424,0,667427840,49.58068867182419,1014.0568027496338
conv1d,127,31,0.7126339059418034,0.861,0.7342014232476282,0.6234007568143668,0.9838282419622313,0.7036182312700898,0.5692851427047213,0.9209277238403452,0.03378526817939303,0.7800762112139358,0.6843071519795658,0.6199058681762488,0.866270057580795,0.8116685802061605,0.6904099068829799,0.3554325728484301,28353,10791424,0,667427840,54.00639546877528,983.9572525024414
gcnconv,107,31,0.6676889757340847,0.551,0.6422350663806635,0.5484362835842146,0.9785459955802555,0.6454235319735792,0.4863268431415445,0.9592233009708738,0.049126991599451816,0.6374523679912901,0.6752075351213283,0.595337340187654,0.8605717544109678,0.8432596273252211,0.7265865527857781,0.30912581883894286,36673,10922496,8192,667563008,57.03915476559018,1013.1447153091431
gcnconv,117,33,0.6841685014110062,0.883,0.669456551979363,0.5772161615894082,0.9810385635743227,0.6759133423934767,0.5368935737871475,0.9120819848975189,0.03814769481844145,0.6597713663581927,0.7014687100893997,0.6012031188908855,0.8634521775185895,0.8491787294253517,0.7372733790842978,0.28122882313078834,36673,10922496,8192,667563008,56.91809750004495,1076.341623544693
gcnconv,127,52,0.6945367673086048,0.8140000000000001,0.706369609210457,0.591138179575973,0.9823754175878135,0.6893494575572577,0.5389432723293002,0.9562028047464941,0.03966460576007699,0.7318998366902558,0.7151979565772669,0.6134952924946595,0.8714858463043931,0.8495066154525865,0.7355764373042337,0.2917325502597696,36673,10922496,8192,667563008,57.14881101567926,1510.6172630786896
graphconv,107,36,0.7677693165111236,0.605,0.8163955913038556,0.6938355548122109,0.9867138584922688,0.7397193805345518,0.5916176185240282,0.9867313915857605,0.03302681270857526,0.9314099074578116,0.7696360153256705,0.6966922979278034,0.8837360445546265,0.8501649390296763,0.7351112893523161,0.29749265868534,44865,11053568,6144,667694080,54.50041125001803,1160.4565534591675
graphconv,117,33,0.7309648905048226,0.8240000000000001,0.7976965062920244,0.6500514003896685,0.9858986707892247,0.738131448066094,0.5962547313898665,0.9686084142394822,0.031802822500496916,0.88704409363092,0.7593390804597702,0.6378580904507287,0.8737119729368911,0.8496353290093119,0.735335617818988,0.2936525864016264,44865,11053568,6144,667694080,54.44410890632412,1093.9320092201233
graphconv,127,24,0.7271683436134467,0.8280000000000001,0.7950031439710864,0.64404491239245,0.9856577469843107,0.7350941530347357,0.5947063137542503,0.9622437971952535,0.03179759177311197,0.8848666303756124,0.7656449553001277,0.6349258026845761,0.8725972495938775,0.8512821677834548,0.7387626133931302,0.2838265190874181,44865,11053568,6144,667694080,54.58361539041334,994.5252020359039
gatconv,107,26,0.6948527038885296,0.555,0.5593308781484616,0.5738047777216301,0.976304863347501,0.6008808048981346,0.4497025564070958,0.905177993527508,0.05370910878866815,0.49700598802395207,0.6308269476372924,0.6554963967633572,0.8828325903586384,0.8318826338943772,0.7151961760605458,0.3136435509374294,36929,10922496,20736,667571200,67.33884781255028,956.9122107028961
gatconv,117,48,0.7037574095361006,0.657,0.5596437816550766,0.5884260164075336,0.9771236617759534,0.6033983187265247,0.4513781107840514,0.9098166127292341,0.053620186423124,0.4940119760479042,0.6368135376756067,0.6610539435533814,0.8728435944916131,0.8340173668311159,0.7188003220611916,0.3039304269256833,36929,10922496,20736,667571200,67.76299062494218,1923.7683782577515
gatconv,127,45,0.6931175935237985,0.406,0.653588002423348,0.5820584189262854,0.9795670298980816,0.6449293780182274,0.48607082261507306,0.9580366774541532,0.04911653014468192,0.6665759390310289,0.6830300127713921,0.6287865063445419,0.8681506527163756,0.8427513824641413,0.7259376860488193,0.3101423085611023,36929,10922496,20736,667571200,67.37670218740277,1441.0269436836243
