epoch,learning_rate,train_loss,maximum_preclip_gradient_norm,validation_loss,validation_selection_score,source_average_precision,source_auroc,source_fixed_0_5_f1,derived_graph_average_precision,derived_graph_auroc,derived_graph_fixed_0_5_balanced_accuracy,exact_set_attack_fixed_0_5,is_best_checkpoint,early_stop_patience_counter,elapsed_seconds
1,0.001,0.6377191398411388,16.85513687133789,0.5003616210753585,0.5359424062406635,0.3682556204472878,0.9489511909147446,0.3278119297748331,0.458307193153334,0.7130348621605999,0.5018404163396312,0.43794229722373434,True,0,24.77504587173462
2,0.001,0.4767668124502708,43.95846939086914,0.42888999929221044,0.5652990646706173,0.4015389789754792,0.955460034686663,0.3624230387288977,0.5026582660448478,0.756580960919404,0.5155370819852789,0.49564507348938486,True,0,23.63170099258423
3,0.001,0.41987167729289243,20.323911666870117,0.5618534517470904,0.5665628874992832,0.402999783573325,0.957236935914155,0.5048332866349118,0.5030150469363275,0.7542530346826318,0.6637459315510712,0.44855743059335873,True,0,24.527172088623047
4,0.001,0.4289288458274238,33.34806442260742,0.38837001241486646,0.6033281432187569,0.4465900741754777,0.9625439523576999,0.38865983763335743,0.5575884721663724,0.8047168338641525,0.5355789232672917,0.5029940119760479,True,0,23.521674871444702
5,0.001,0.39494273567268173,23.483144760131836,0.4150992226174356,0.602141768142443,0.4514857369186848,0.9653984821726936,0.5180681993519519,0.5401971165597087,0.8135212622991076,0.6808904113042167,0.49156232988568316,False,1,23.557860374450684
6,0.001,0.39043218505091,27.50913429260254,0.3646273651799023,0.6285032074067254,0.4795794178889768,0.9681849566695458,0.4651708844247326,0.5866690371794021,0.8438958633239712,0.6060675023446341,0.5307566684812194,True,0,24.965867042541504
7,0.001,0.38194727226044806,39.1488037109375,0.4203095114474705,0.6326961583518009,0.4820336443185779,0.9679257634066054,0.5209754864796563,0.5987915813634425,0.8531811769196272,0.6937862984833872,0.5029940119760479,True,0,23.432195901870728
8,0.001,0.36669959574092587,25.802133560180664,0.35045972683420584,0.6351088079801417,0.4852411048068106,0.9694736013765695,0.4784454955923457,0.6004794209303761,0.8569662992433106,0.6317852518057709,0.5313010342950463,True,0,24.8836772441864
9,0.001,0.3827438554060628,46.60891342163086,0.5710252470897075,0.6280604154702873,0.48583113089935187,0.9706111395669452,0.585246324477689,0.5699682605155003,0.8369657280711387,0.7894330135547949,0.4262384322264562,False,1,26.19189453125
10,0.001,0.3560696101951833,54.63912582397461,0.410861413445357,0.6483852772185004,0.5053218487425412,0.9703263493135271,0.5576871297792138,0.6125710620753918,0.8589273903063537,0.7365419478311381,0.4918345127925966,True,0,25.301146030426025
11,0.001,0.3562878867842719,39.092979431152344,0.3206905354941942,0.6592991671938576,0.5159010269118696,0.9732107681932005,0.5456729288574068,0.6321838467584908,0.8718619960727456,0.7302690141002673,0.5356559608056614,True,0,26.687676429748535
