epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
1,0.6024954406055,2.169252634048462,0.6029068462236631,0.5091476297654135,0.3908826258172082,0.6274126337136188,0.5,0.0,0.001,True,1,0,26.857869148254395
2,0.5202766828292269,11.281637191772461,0.4196243169663966,0.7449046038133174,0.6333611287756093,0.8564480788510254,0.8030416977819215,0.693551865430235,0.001,True,2,0,27.87390899658203
3,0.40867800926382686,25.166349411010742,0.37938679296090383,0.7216550592393141,0.5891309888023788,0.8541791296762493,0.783329310330199,0.6763163893321177,0.001,False,2,1,26.07967495918274
4,0.3987520537794552,36.974632263183594,0.35669845414953366,0.7362366927123905,0.6080783434451633,0.8643950419796176,0.8467939472718935,0.7342521694742216,0.001,False,2,2,27.478627681732178
5,0.3615977219213419,52.37717056274414,0.35102798834462123,0.7238807871388317,0.5899348739399157,0.8578267003377478,0.8282740738618457,0.7202387296173931,0.001,False,2,3,24.867109775543213
6,0.36062125961586117,58.84328842163086,0.3449314155188861,0.7289813531716443,0.5953564815380373,0.8626062248052512,0.8264557912124085,0.7187332834064406,0.001,False,2,4,26.670762062072754
7,0.3599362882224815,28.31511878967285,1.2701285497438861,0.7071053581231364,0.5780748171099909,0.836135899136282,0.5519319698898197,0.23131046613896217,0.0005,False,2,5,27.50817894935608
8,0.36037803486839476,59.32210922241211,0.34783755861327414,0.7496990994741919,0.628696500101586,0.8707016988467978,0.7976474100692796,0.6940744143316491,0.0005,True,8,0,27.692999601364136
9,0.35085127316494946,24.097774505615234,0.33983163350995627,0.7495696749890929,0.6249619393518748,0.8741774106263109,0.807113528246708,0.705652123863244,0.0005,False,8,1,26.53007459640503
10,0.3510867591608693,27.145601272583008,0.34088096654430355,0.7541788732932851,0.633314831820583,0.8750429147659873,0.828731964577734,0.7254080282311425,0.0005,True,10,0,24.46813726425171
11,0.34482633097428733,11.88272476196289,0.3382590215553269,0.7447589077597434,0.6171650048666891,0.8723528106527976,0.8485555123402087,0.7387780548628429,0.0005,False,10,1,26.145739316940308
12,0.3416313106483015,10.908215522766113,0.33647381323050723,0.7424714654062738,0.6128813165213649,0.8720616142911827,0.853616073190703,0.7411860607295699,0.0005,False,10,2,26.971745252609253
13,0.34480162465194847,15.184185981750488,0.3360208045705525,0.7393102560748186,0.6081105310235265,0.8705099811261106,0.8496849453648303,0.7403165347771761,0.0005,False,10,3,28.980104446411133
14,0.34400336318782215,21.21263885498047,0.3368094455008306,0.7444406403230545,0.6169794900428687,0.8719017906032402,0.8510847783046552,0.7411862297801742,0.0005,False,10,4,27.72491192817688
15,0.361282649799114,44.28274917602539,0.34105029808759385,0.7503133727323859,0.6263004857719063,0.8743262596928655,0.8369793464388553,0.7282883642495783,0.00025,False,10,5,26.91037392616272
16,0.3377021494624763,10.334412574768066,0.4190034906297808,0.7394436691693812,0.6122283118940441,0.8666590264447183,0.6722962990379592,0.5295493528769687,0.00025,False,10,6,24.565635442733765
17,0.3391624060444171,29.095806121826172,0.38839764305001473,0.7453318422819889,0.6227767916557474,0.8678868929082304,0.7210480572829739,0.6061959252023446,0.00025,False,10,7,25.362749338150024
18,0.33464162631660477,17.31960105895996,0.3377734160819121,0.7487352828914589,0.6260203332008716,0.8714502325820462,0.8295449473150542,0.7244831338411316,0.00025,False,10,8,23.77183485031128
19,0.3348967239081858,10.181239128112793,0.3468976814780351,0.7497100516195362,0.6273494817656302,0.8720706214734422,0.7949327129669855,0.6939451277199621,0.00025,False,10,9,24.608877182006836
20,0.3341213191306173,10.343362808227539,0.34821649872023486,0.7560905665112267,0.6382933202134657,0.8738878128089879,0.7696248056692743,0.6683569979716024,0.00025,True,20,0,24.92847228050232
21,0.3316361835234434,10.906129837036133,0.37864469576003756,0.758196274445212,0.639559510447524,0.8768330384428998,0.7528380002014166,0.6495452113429641,0.00025,True,21,0,22.971498250961304
22,0.3392640161200994,12.591042518615723,0.34109951980117026,0.7561750345963838,0.6370240276397156,0.8753260415530522,0.8233150205738798,0.7214806505888952,0.00025,False,21,1,23.785623788833618
23,0.3339429562440726,17.303335189819336,0.350499934277772,0.7579525105221634,0.6389559651753267,0.8769490558690001,0.7842616305471486,0.6857427220701667,0.00025,False,21,2,24.182618618011475
24,0.33497741587241936,20.13738441467285,0.34689234111500883,0.751428743062357,0.6331527255737375,0.8697047605509765,0.8011847733983539,0.6989259729760942,0.00025,False,21,3,23.528019189834595
25,0.331847924568483,11.997213363647461,0.35553852694244675,0.7573556863775632,0.6375208752155935,0.8771904975395329,0.7901562933643566,0.6912105327319275,0.00025,False,21,4,22.965681791305542
26,0.3293777906797503,13.82785701751709,0.38945286598242107,0.7578400644930496,0.6404333075991997,0.8752468213868995,0.7052879168865177,0.5831475702184574,0.000125,False,21,5,22.962464332580566
27,0.3253766315988745,11.027519226074219,0.34052837138583986,0.7579225570805552,0.6397125147891415,0.8761325993719689,0.8128756655938795,0.7118488838008015,0.000125,False,21,6,23.832005977630615
28,0.3254504098154999,10.289928436279297,0.34039735660851383,0.7571207246923634,0.6383946820286243,0.8758467673561025,0.8256138194891816,0.7231625835189309,0.000125,False,21,7,23.97857689857483
29,0.3263065851737437,11.736794471740723,0.3801202824669932,0.7592047062211275,0.6437724510732911,0.8746369613689639,0.7421635977280505,0.635329179084259,0.000125,True,29,0,23.86390781402588
30,0.32684387128298004,14.618289947509766,0.37414293240465574,0.7569482563589314,0.6402511406695902,0.8736453720482726,0.7333296115943155,0.6235521235521236,0.000125,False,29,1,23.79313635826111
31,0.32618102395109433,13.127100944519043,0.4178504565514215,0.7579952478347357,0.6420062322313396,0.8739842634381318,0.6621530436467763,0.5094185094185094,0.000125,False,29,2,24.982444524765015
32,0.3243539403417148,12.066320419311523,0.3472170063971255,0.7649443685672461,0.6509135571168861,0.8789751800176061,0.8054941721378894,0.7055659494855004,0.000125,True,32,0,23.286779403686523
33,0.32258813081090615,11.365596771240234,0.34719070776973493,0.7638424271224848,0.650524098851635,0.8771607553933347,0.8000087981418521,0.7000590667454224,0.000125,False,32,1,24.138014316558838
