role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.5278772528605307,0.5408369746913398,0.5084376701143168,0.9565364692915168
source,0.002,0.5453447418639327,0.554525758305248,0.5315732172019597,0.9584081200389979
source,0.003,0.5562549240611518,0.5623664448379022,0.5470876428960262,0.959478144040419
source,0.004,0.563691769270517,0.5682287970875883,0.5568862275449101,0.9602673389217815
source,0.005,0.5700311884010447,0.5728064716863721,0.5658682634730539,0.9607551220247444
source,0.006,0.5754378336424625,0.5769182547642929,0.5732172019597169,0.9612592422636272
source,0.007,0.5804379128560331,0.5801709725245261,0.5808383233532934,0.9613942915193049
source,0.008,0.5842749239001455,0.5829368855058674,0.5862819814915623,0.9615022019330941
source,0.009000000000000001,0.5871083658517483,0.5851189149606801,0.5900925421883506,0.9617621081436128
source,0.01,0.590618572202259,0.5873401534526854,0.5955362003266195,0.96192983167113
source,0.011,0.5931733782596613,0.589057789750497,0.5993467610234078,0.9620730317204513
source,0.012,0.5952105053619481,0.590819904146161,0.6017964071856288,0.9623162605438514
source,0.013000000000000001,0.5968657046832846,0.5924898380540681,0.6034295046271094,0.962497705843596
source,0.014,0.5982762535562376,0.5937520212146692,0.6050626020685901,0.962526815095412
source,0.015,0.6002269873429125,0.5951886914797043,0.6077844311377245,0.9626742606671543
source,0.016,0.6017200092167795,0.5964068743705533,0.6096897114861187,0.9628390285797803
source,0.017,0.6035893476149514,0.5977078856547503,0.6124115405552532,0.9630142579471761
source,0.018000000000000002,0.6052012195897509,0.5989426967758777,0.6145890038105607,0.963084227813108
source,0.019,0.6061808715607913,0.5998496289758425,0.6156777354382145,0.9631097364962679
source,0.02,0.6073486390712075,0.6007071765322158,0.6173108328796951,0.9631761057935435
source,0.021,0.6084526281228056,0.6016398819285012,0.6186717474142623,0.9632042298403958
source,0.022,0.6092695974107056,0.6024571315945076,0.6194882961350027,0.9632166617050932
source,0.023,0.6103079468165276,0.6034618928524417,0.6205770277626566,0.9633013385482162
source,0.024,0.6108567032110659,0.6040135763007876,0.6211213935764834,0.9631823572745248
source,0.025,0.6112208346583161,0.6046204620462046,0.6211213935764834,0.9630225153867178
source,0.026000000000000002,0.6118904684674498,0.6053736078522093,0.6216657593903103,0.9630731925018385
source,0.027,0.6125649342350582,0.6061348069223388,0.6222101252041372,0.9631725763221526
source,0.028,0.6132408762472166,0.6067170111287759,0.6230266739248775,0.9632484218692344
source,0.029,0.6135873273948846,0.6072944297082228,0.6230266739248775,0.963275560711123
source,0.03,0.6143216730837426,0.6079739733758258,0.6238432226456179,0.9633157763714739
source,0.031,0.615290375956892,0.6086812018080298,0.6252041371801851,0.9634073141007105
source,0.032,0.6160713351250389,0.6092569793365055,0.6262928688078389,0.9633857462374058
source,0.033,0.6165454824318957,0.609865769576658,0.6265650517147523,0.96346420714818
source,0.034,0.6173958359219103,0.6105572043082463,0.6276537833424061,0.9635531295137242
source,0.035,0.6175846888300047,0.6108719591550705,0.6276537833424061,0.9634975619224173
source,0.036000000000000004,0.6180174500395155,0.6114117725663126,0.6279259662493195,0.9634707633317275
source,0.037,0.6183347799352478,0.611759200454591,0.628198149156233,0.9635152245144996
source,0.038,0.6192320243386256,0.6123473314371759,0.6295590636908002,0.9635423633563882
source,0.039,0.6200120738831507,0.6129215929262819,0.630647795318454,0.9636155935397774
source,0.04,0.6207434157930243,0.613414675024302,0.6317365269461078,0.9636783622683969
source,0.041,0.6214281555116729,0.6140115420748893,0.6325530756668482,0.9637542078154786
source,0.042,0.6221481704850417,0.6144857459454015,0.6336418072945019,0.9638143611804055
source,0.043000000000000003,0.6228093557152318,0.6150433555152248,0.6344583560152423,0.9638849760001025
source,0.044,0.6229923819541194,0.6153483992467044,0.6344583560152423,0.9638754997502963
source,0.045,0.623629668400401,0.6158661775100132,0.6352749047359826,0.9639408838426081
source,0.046,0.6239221321305427,0.6161721617889738,0.635547087642896,0.963931407592802
source,0.047,0.6247440047360671,0.6168161283797451,0.6366358192705498,0.9640124838672687
source,0.048,0.6252828530828375,0.6171698431438691,0.6374523679912901,0.9640569450500408
source,0.049,0.6254209903797097,0.6175815272432651,0.6371801850843767,0.964060545618697
source,0.05,0.6258706427399281,0.6179680373010777,0.6377245508982036,0.9640128241184676
source,0.051000000000000004,0.6259815220451956,0.6183342914144659,0.6374523679912901,0.9639624872545456
source,0.052000000000000005,0.6262631861733293,0.6186222763567465,0.6377245508982036,0.9639503956410469
source,0.053,0.6262866786024539,0.6188428856765632,0.6374523679912901,0.9638817512312776
source,0.054,0.6265377504358449,0.6190798834609391,0.6377245508982036,0.9637670154800075
source,0.055,0.6267725040141168,0.6192896841534499,0.637996733805117,0.9637931691169324
source,0.056,0.6270090441969434,0.6196839177914942,0.637996733805117,0.9637941543218962
source,0.057,0.6279020224297485,0.6200834832185156,0.6396298312465977,0.9638438462320531
source,0.058,0.6280760411573827,0.6203735144312393,0.6396298312465977,0.9638317546185545
source,0.059000000000000004,0.6286556162071187,0.6207951070336392,0.640446379967338,0.963884061892404
source,0.06,0.6288883021935868,0.6210014617398103,0.6407185628742516,0.9638615088241356
source,0.061,0.629146451363279,0.6212502550846882,0.640990745781165,0.963844186483252
source,0.062,0.6291733766123946,0.6212951304998809,0.640990745781165,0.9636572057535564
source,0.063,0.6294544002013525,0.6215820478768685,0.6412629286880784,0.9635964074348645
source,0.064,0.6297665777714504,0.6219208885557561,0.6415351115949919,0.9636382532539441
source,0.065,0.6302967234411045,0.6222600988580195,0.6423516603157322,0.9636800990730237
source,0.066,0.6307633960139889,0.6224935206656664,0.6431682090364725,0.963708868073641
source,0.067,0.6308174796479475,0.6227651153268732,0.6428960261295591,0.9636941610964498
source,0.068,0.6308631001917375,0.6228411495665233,0.6428960261295591,0.9636072091408332
source,0.069,0.6309114403927611,0.6229217165682291,0.6428960261295591,0.9635689638904099
source,0.07,0.6313784725630707,0.6231557377049181,0.6437125748502994,0.9635977328910271
source,0.07100000000000001,0.6313536741177036,0.6232958622339153,0.643440391943386,0.9635186270264879
source,0.07200000000000001,0.6320386522056194,0.6235302160240634,0.6448013064779532,0.963547396027105
source,0.073,0.6321793702574491,0.6237647461104463,0.6448013064779532,0.9635761650277224
source,0.074,0.6323021298989921,0.623969345513018,0.6448013064779532,0.9635049052542606
source,0.075,0.6328209765424062,0.6242897241048813,0.6456178551986935,0.9635441357096477
source,0.076,0.6333271862253078,0.6245890410958904,0.6464344039194339,0.9635807508013423
source,0.077,0.6336964248026755,0.6248415281822854,0.6469787697332607,0.9635634284604588
source,0.078,0.6338377819729641,0.6250771234660999,0.6469787697332607,0.963592197461076
source,0.079,0.6340727002495129,0.6252871986557388,0.6472509526401742,0.9635696443928075
source,0.08,0.6344577733264338,0.6255660765747222,0.6477953184540011,0.9636036441208098
source,0.081,0.6347889214830784,0.6257550796265787,0.648339684267828,0.9635784756888488
source,0.082,0.6353193259735295,0.6260947212968369,0.6491562329885683,0.963571614802735
source,0.083,0.6352649602388475,0.6261855670103093,0.6488840500816548,0.9633898648004244
source,0.084,0.6354746558686029,0.6263536044552924,0.6491562329885683,0.9633620810047709
source,0.085,0.6355367753727941,0.6264571369622778,0.6491562329885683,0.96332645111804
source,0.08600000000000001,0.6358838169692742,0.626672629080527,0.6497005988023952,0.9633526047549648
source,0.08700000000000001,0.636202596995835,0.6268410185822436,0.650244964616222,0.9633248209593113
source,0.088,0.6365627630508794,0.6270783847980999,0.6507893304300489,0.9633535899599286
source,0.089,0.6367728386841892,0.6272470555823404,0.6510615133369625,0.9633258061642751
source,0.09,0.6369724575199747,0.6273982983707073,0.6513336962438759,0.9633441137101224
source,0.091,0.6369778980051044,0.627588821117199,0.6510615133369625,0.9633189452781614
source,0.092,0.6371362635520106,0.6276713084241003,0.6513336962438759,0.9632807000277381
source,0.093,0.637424555488562,0.6279703397137437,0.6516058791507894,0.9632686084142394
source,0.094,0.6375131468992324,0.6281179920648612,0.6516058791507894,0.9632382092548936
source,0.095,0.6376302036757768,0.6283130866924351,0.6516058791507894,0.9632617475281258
source,0.096,0.6379887493220802,0.6285477522270562,0.6521502449646163,0.9632418098235498
source,0.097,0.6383237255672056,0.6287431354263807,0.6526946107784432,0.9632653480967821
source,0.098,0.6386327011184945,0.6288951841359773,0.65323897659227,0.9632836556426294
source,0.099,0.6387239744787823,0.6290473064031238,0.65323897659227,0.9633019631884767
source,0.1,0.6388283409739168,0.6292212505616813,0.65323897659227,0.9633228860980165
source,0.101,0.6389870941412583,0.6293043839026414,0.6535111594991835,0.9632846408475932
source,0.10200000000000001,0.6391873695384321,0.629456720959989,0.6537833424060969,0.9633029483934406
source,0.10300000000000001,0.6393180209490165,0.6296744733109628,0.6537833424060969,0.9633291020303653
source,0.10400000000000001,0.6393941591646672,0.6298013703370475,0.6537833424060969,0.9632960875073269
source,0.105,0.6396207562846419,0.6299975769323963,0.6540555253130104,0.9633196257805592
source,0.106,0.6399693930655762,0.6302157276914021,0.6545998911268373,0.9633457794174839
source,0.107,0.6400348722919762,0.6303248597354021,0.6545998911268373,0.9633588562359463
source,0.108,0.6401374307257583,0.6304957904583723,0.6545998911268373,0.9633310724402928
source,0.109,0.6404994052578961,0.6307361708027173,0.6551442569406641,0.96335984144091
source,0.11,0.6404407692910874,0.6308198994626452,0.6548720740337507,0.9633215961904866
source,0.111,0.6405720305845424,0.6310386682850702,0.6548720740337507,0.9633477498274114
source,0.112,0.6407334337602759,0.6311262183066838,0.6551442569406641,0.9633582112821812
source,0.113,0.6408100447372678,0.6312539032683367,0.6551442569406641,0.9633251967591429
source,0.114,0.640860409699743,0.6313378448724624,0.6551442569406641,0.9632869515087195
source,0.115,0.6408954449133204,0.6313962368950913,0.6551442569406641,0.9631973841894104
source,0.116,0.6409327027762657,0.6314583333333333,0.6551442569406641,0.9631565235752946
source,0.117,0.6413097555295915,0.6315423887750494,0.6559608056614045,0.9631182783248713
source,0.11800000000000001,0.6413171780201801,0.6317362148639727,0.655688622754491,0.9630931098929103
source,0.11900000000000001,0.6416227838589179,0.6318826473859844,0.6562329885683179,0.963014004028371
source,0.12,0.6417843798124538,0.6319705187039355,0.6565051714752314,0.963024465483141
source,0.121,0.6419987425596461,0.6321463346779802,0.6567773543821448,0.9630453883926808
source,0.122,0.6421999672687486,0.6323002539218756,0.6570495372890582,0.9630636959385281
source,0.123,0.642265960198117,0.6324102421374895,0.6570495372890582,0.9630767727569904
source,0.124,0.6427631904887604,0.6325131382034593,0.658138268916712,0.9629924361650664
source,0.125,0.6427896084959945,0.6325571682155163,0.658138268916712,0.9629976668924513
source,0.126,0.6430702883971151,0.6328435127794415,0.6584104518236255,0.9630316666204535
source,0.127,0.6433673826136324,0.6329757592644191,0.6589548176374523,0.9630473588026083
source,0.128,0.6434181925139603,0.6330604424316322,0.6589548176374523,0.963009113552185
source,0.129,0.6435800026845593,0.6331486707780216,0.6592270005443658,0.9630195750069548
source,0.13,0.6435472161932115,0.6330940266257754,0.6592270005443658,0.9628682241639901
source,0.131,0.6439644284914281,0.6332450146423093,0.6600435492651061,0.9628378250046441
source,0.132,0.6442330737625074,0.6333298462182236,0.660587915078933,0.9627995797542208
source,0.133,0.6445435994865074,0.6334844785490059,0.6611322808927599,0.9628178873000681
source,0.134,0.6445701162080877,0.6335286730849728,0.6611322808927599,0.9628231180274531
source,0.135,0.6446231607523035,0.633617080658666,0.6611322808927599,0.9628335794822229
source,0.136,0.6445254767379534,0.633635729239358,0.6608600979858464,0.9627874881407221
source,0.137,0.6445213268330626,0.6336288127312067,0.6608600979858464,0.9626900747303357
source,0.138,0.6446832788492505,0.633717277486911,0.6611322808927599,0.9627005361851055
source,0.139,0.6448717980879464,0.6338500209467951,0.6614044637996733,0.9627162283672605
source,0.14,0.6450470684734795,0.6339606829847411,0.6616766467065869,0.9627293051857229
source,0.14100000000000001,0.6453291859798396,0.6340679682861234,0.6622210125204138,0.962693675298992
source,0.14200000000000002,0.6455178021883982,0.6342008733624455,0.6624931954273272,0.9627093674811469
source,0.14300000000000002,0.6455137182981192,0.6341940668786471,0.6624931954273272,0.9626119540707603
source,0.14400000000000002,0.6454293989272261,0.634234989865101,0.6622210125204138,0.962568478092952
source,0.145,0.6455491286578772,0.6344345394161861,0.6622210125204138,0.9625920163661843
source,0.146,0.6456003429059206,0.6345198964962585,0.6622210125204138,0.9625537711157609
source,0.147,0.645653600503724,0.6346086591592641,0.6622210125204138,0.9625642325705308
source,0.148,0.6457983976391835,0.6346685324470878,0.6624931954273272,0.9624746652512217
source,0.149,0.6461360771280407,0.6348684210526316,0.6630375612411541,0.962498203524454
source,0.15,0.6463116124749493,0.6349795246928703,0.6633097441480675,0.9625112803429163
source,0.151,0.6464738321865039,0.6350684356075191,0.663581927054981,0.9625217417976862
source,0.152,0.6464965335587829,0.6351062712279841,0.663581927054981,0.9624295591146846
source,0.153,0.6465766085973574,0.6352397296256085,0.663581927054981,0.9624452512968396
source,0.154,0.646819014968887,0.6354622849735487,0.6638541099618944,0.9624714049337643
source,0.155,0.6469793649187595,0.6355480796187273,0.6641262928688079,0.9624331596833409
source,0.156,0.6469888045042479,0.635563812261208,0.6641262928688079,0.9623383616366469
source,0.157,0.6470269502015498,0.6356273884233776,0.6641262928688079,0.962297501022531
source,0.158,0.6470670669371444,0.6356942496493688,0.6641262928688079,0.9623053471136085
source,0.159,0.6471205690482105,0.635783419834479,0.6641262928688079,0.9623158085683783
source,0.16,0.6472829593338575,0.6358726150392816,0.6643984757757213,0.9623262700231483
source,0.161,0.6473632631791582,0.6360064547814495,0.6643984757757213,0.9623419622053031
source,0.162,0.6476613471621351,0.636140350877193,0.6649428415895482,0.9623576543874579
source,0.163,0.6475773352400306,0.6361817862782945,0.6646706586826348,0.9623141784096496
source,0.164,0.6477397985290487,0.6362711031553824,0.6649428415895482,0.9623246398644195
source,0.165,0.6480092348782156,0.636357253194776,0.6654872074033751,0.9622863946139961
source,0.166,0.6480762692459808,0.6364689771410513,0.6654872074033751,0.9622994714324585
source,0.167,0.6482100566087681,0.6365105008077544,0.6657593903102885,0.9622559954546502
source,0.168,0.6484243638194318,0.6366862242209185,0.666031573217202,0.9622282116589969
source,0.169,0.6482982743615179,0.6366575303956707,0.6657593903102885,0.9621281828849177
source,0.17,0.6484186741311909,0.6366767414071836,0.666031573217202,0.962082091543417
source,0.171,0.6484167767685158,0.6366735791360585,0.666031573217202,0.9620333848382238
source,0.17200000000000001,0.6485107870705962,0.6368302629728589,0.666031573217202,0.9620516923840711
source,0.17300000000000001,0.6486048436554851,0.6369870239476738,0.666031573217202,0.9620699999299185
source,0.17400000000000002,0.6486855004486408,0.6371214519362667,0.666031573217202,0.9620856921120733
source,0.17500000000000002,0.6488597496438199,0.6372304119902895,0.6663037561241154,0.9620500622253424
source,0.176,0.649062808044844,0.6373873873873874,0.6665759390310289,0.9620683697711897
source,0.177,0.6491948950719948,0.6374260771613631,0.6668481219379423,0.9619761870881882
source,0.178,0.6492756898708745,0.6375607351594959,0.6668481219379423,0.961991879270343
source,0.179,0.6494231325028106,0.6376250176081139,0.6671203048448557,0.9619510186562271
source,0.18,0.6494770314899287,0.6377148492533108,0.6671203048448557,0.961961480110997
source,0.181,0.6495444265844355,0.6378271744108218,0.6671203048448557,0.9619745569294594
source,0.182,0.6494984866185385,0.6377506078009936,0.6671203048448557,0.9618205907228022
source,0.183,0.6494966524897783,0.6377475509197266,0.6671203048448557,0.961771884017609
source,0.184,0.6492752367431037,0.6377414352178203,0.6665759390310289,0.9616744706072224
source,0.185,0.6492454738207987,0.6378732856185876,0.6663037561241154,0.961641456084184
source,0.186,0.6495576998966328,0.6380307518690931,0.6668481219379423,0.9616597636300314
source,0.187,0.6493903375586563,0.6381147251816834,0.6663037561241154,0.9615728116744148
source,0.188,0.6495090939863837,0.6381311972899537,0.6665759390310289,0.9614780136277207
source,0.189,0.6495496302707966,0.638198757763975,0.6665759390310289,0.9614858597187981
source,0.19,0.6499573480834115,0.6383339216378398,0.6673924877517692,0.9615015519009529
source,0.191,0.6500114327198561,0.6384240626985808,0.6673924877517692,0.9615120133557229
source,0.192,0.6499654696769789,0.6383474576271186,0.6673924877517692,0.9613580471490657
source,0.193,0.6501284477238489,0.6384376324339597,0.6676646706586826,0.9613685086038356
source,0.194,0.6504120588450445,0.6385474070934012,0.6682090364725095,0.9613328787171047
source,0.195,0.650629236868377,0.6387279151943464,0.668481219379423,0.9613538016266445
source,0.196,0.6507651958145275,0.6387730581666549,0.6687534022863364,0.9613590323540295
source,0.197,0.6507922854268331,0.6388182075204977,0.6687534022863364,0.9613642630814144
source,0.198,0.6509129344873098,0.6388378340166831,0.6690255851932498,0.9613181717399135
source,0.199,0.6509111637672854,0.6388348828166425,0.6690255851932498,0.9612694650347203
source,0.2,0.6509789230887552,0.638947815019092,0.6690255851932498,0.9612825418531827
source,0.201,0.6509924778279629,0.6389704062511049,0.6690255851932498,0.9612851572168752
source,0.202,0.6510602659041618,0.6390833863781031,0.6690255851932498,0.9612982340353375
source,0.203,0.6510143087801862,0.6390067911714771,0.6690255851932498,0.9611442678286803
source,0.20400000000000001,0.6510668058091238,0.6390942862197063,0.6690255851932498,0.9611060225782571
source,0.20500000000000002,0.6512435233759465,0.6392073602264686,0.6692977681001633,0.9611190993967194
source,0.20600000000000002,0.6513385458837492,0.6393657310728065,0.6692977681001633,0.9611374069425667
source,0.20700000000000002,0.6516088779230272,0.6394533739290519,0.6698421339139902,0.9610991616921434
source,0.20800000000000002,0.6517720917166767,0.6395439416471921,0.6701143168209036,0.9611096231469132
source,0.209,0.651935320905363,0.6396345350237269,0.670386499727817,0.9611200846016832
source,0.21,0.6521121607597683,0.6397478128431269,0.6706586826347305,0.9611331614201455
source,0.211,0.6522193175237776,0.6397449521785334,0.6709308655416439,0.9610844547149522
source,0.212,0.6524097908079944,0.6398809523809523,0.6712030484485574,0.9611001468971071
source,0.213,0.6524216871327894,0.639900779588944,0.6712030484485574,0.9610540555556064
source,0.214,0.6523111065384495,0.6398979338696531,0.6709308655416439,0.9610053488504131
source,0.215,0.6527057713195857,0.6400113426910534,0.6717474142623843,0.9610184256688754
source,0.216,0.6530596806142729,0.6402382809729806,0.6722917800762113,0.9610445793058002
source,0.217,0.6531414247556937,0.6403745212086821,0.6722917800762113,0.961060271487955
source,0.218,0.6535634563901844,0.6405335414523395,0.6731083287969516,0.9610785790338023
source,0.219,0.6534529143270646,0.640530759951749,0.6728361458900382,0.9610298723286091
source,0.22,0.6534495754603445,0.6405251951738821,0.6728361458900382,0.9609324589182227
source,0.221,0.6536539374180459,0.6406843431654422,0.6731083287969516,0.96095076646407
source,0.222,0.6538173969141421,0.6407753203876602,0.673380511703865,0.9609612279188398
source,0.223,0.6538856516351037,0.6408890782559296,0.673380511703865,0.9609743047373022
source,0.224,0.6540628037578737,0.6410028765226038,0.6736526946107785,0.9609873815557646
source,0.225,0.6542536436863648,0.6411394877988136,0.6739248775176919,0.9610030737379194
source,0.226,0.6543356453972426,0.6412761573169431,0.6739248775176919,0.9610187659200742
source,0.227,0.6544040068666461,0.6413900930992822,0.6739248775176919,0.9610318427385367
source,0.228,0.6544997537438815,0.6415496712280078,0.6739248775176919,0.961050150284384
source,0.229,0.6545544876392619,0.6416408943869752,0.6739248775176919,0.9610606117391538
source,0.23,0.654444012997895,0.6416382252559726,0.6736526946107785,0.9610119050339606
source,0.231,0.6544560998895397,0.6416583700753804,0.6736526946107785,0.9609658136924598
source,0.232,0.6545633722936597,0.641655702144305,0.6739248775176919,0.9609171069872666
source,0.233,0.6545907554453569,0.641701340730467,0.6739248775176919,0.9609223377146515
source,0.234,0.6547407106401794,0.6417698107838953,0.6741970604246054,0.9609301838057289
source,0.23500000000000001,0.6547665122634709,0.6418128134893814,0.6741970604246054,0.9608867078279206
source,0.23600000000000002,0.6547512209110995,0.6417873279020955,0.6741970604246054,0.9608353857590348
source,0.23700000000000002,0.6547359273825649,0.6417618386878713,0.6741970604246054,0.9607840636901492
source,0.23800000000000002,0.6549810750319323,0.6418075075609323,0.6747414262384323,0.9607892944175341
source,0.23900000000000002,0.6551721755703059,0.6419445531869462,0.6750136091453457,0.960804986599689
