epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
1,3.3131559404935267,2.5675234788526824,0.34825908108142917,0.4214360664327541,0.3098030554849452,0.2259105766071375,0.4394992656429115,0.001,1,0,25.90660572052002,44.21282958984375,0.6003752798160581,0.4271583506126209,1.0913559821830203,0.8782431330260646,0.6579445402886513,0.47982020099501044,0.9634801474668327,0.7823017765583511
2,2.384111008155007,2.0727680740380805,0.4188146878902036,0.4115739085648328,0.41468000437608316,0.340080732454504,0.5332616555655347,0.001,2,0,25.053094148635864,242.5767822265625,0.4262890684821432,0.4088911076158399,0.8092568413264544,0.6415270340663416,0.4354481975533714,0.4174278781179572,0.7131168963961273,0.6049220539144172
3,1.9396534970965837,1.727444438946506,0.47405351971955295,0.4550298468870576,0.5064287176159266,0.37721784931711927,0.5831646196008711,0.001,3,0,23.371185302734375,177.2677764892578,0.378924951850527,0.3428467204592085,0.605541514707455,0.536907778512853,0.3799762287090419,0.3385560973089469,0.5752107965644802,0.5091338446161604
4,1.7025020059190814,1.494414782767704,0.4860560344232676,0.4817297154426469,0.5205509219114278,0.38243179305033254,0.5789572052501671,0.001,4,0,23.527065753936768,145.4712371826172,0.35745472064638845,0.33745084232906425,0.48907674916184785,0.4189038900979634,0.34976503518275837,0.318159532501323,0.5062054979948308,0.41990050258612116
5,1.5090329188446707,1.4253537734045074,0.544324896572125,0.5436364749455725,0.5634233849154384,0.47988924485604345,0.6020289832279139,0.001,5,0,24.54655885696411,139.31301879882812,0.31424634584923056,0.2897547358601791,0.421615159931974,0.41349060751621447,0.32425687863895697,0.30016242605211785,0.4489145382949544,0.42194599583078923
6,1.3792090523362897,1.3369670919074865,0.5411709672963533,0.5525266012504739,0.5341372942591741,0.49875691497192004,0.5859471730671879,0.001,5,1,23.953453063964844,81.36255645751953,0.26876333296015253,0.2522562261133206,0.39222696297765,0.3874571355640184,0.29242409256032104,0.2883200284621725,0.4257946692999007,0.40893368565716504
7,1.320295887057561,1.2560251447280553,0.5699578756633905,0.593016523278384,0.5560430788562565,0.5352920716498415,0.5960956552667543,0.001,7,0,22.201229572296143,180.66705322265625,0.26661422775391314,0.2132528597443801,0.3678803546447352,0.38730557484131206,0.27674269473012775,0.26035679718848237,0.40905861622747,0.3951099108462133
8,1.2283253901986724,1.3512731219616887,0.5849866137606322,0.5706991608684264,0.5934920750914466,0.5730889519489785,0.6106580436999899,0.001,8,0,22.946223258972168,222.10508728027344,0.22792189686146586,0.20950440029074863,0.361256497022464,0.4062734286516125,0.24231907474312697,0.34596363962229487,0.39682791889532737,0.3895316458144255
9,1.1468676438785703,1.1160332684620435,0.597974134580123,0.5998735769378544,0.598497044443888,0.5735255903828467,0.6250320139604154,0.001,9,0,23.035306692123413,105.12974548339844,0.2102582922031557,0.19290339071327395,0.34386568422986286,0.34688200254116974,0.21977412691945902,0.2212194573148457,0.3729695393606055,0.3550284212576475
10,1.0940740761638514,1.4108956112867723,0.6000588945369256,0.6183026836536888,0.603964913328219,0.5592848449986005,0.6187782492955707,0.001,10,0,24.819408893585205,77.60891723632812,0.198298236895402,0.26648922696576416,0.32946163928825106,0.4578002834654536,0.20056629783996843,0.26355123283914833,0.36574790112849864,0.42305487523742713
