role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.7866362745097221,0.7089918674236612,0.9031028851388133,0.9786715110311979
source,0.002,0.7973308168907969,0.7162916989914662,0.9188894937397931,0.9789723134044651
source,0.003,0.8019510070767556,0.72,0.924877517691889,0.9789252724066333
source,0.004,0.8054151314502151,0.7225073457394712,0.929776810016331,0.978960597590798
source,0.005,0.8072465843675898,0.7241081250982241,0.9319542732716385,0.9788122023627246
source,0.006,0.8087439473876408,0.7253335432327128,0.9338595536200327,0.978924663001501
source,0.007,0.8101003612882722,0.7265055014394447,0.9354926510615134,0.978834450728427
source,0.008,0.811500623339494,0.7273876293546094,0.9376701143168209,0.9787667915236216
source,0.009000000000000001,0.8123287845517132,0.7280420769565389,0.9387588459444747,0.9786782094092761
source,0.01,0.8129960334255835,0.7289727031417138,0.9390310288513881,0.9785157521577766
source,0.011,0.8135130411776121,0.7294714721858768,0.939575394665215,0.9785115066353554
source,0.012,0.8142784778267356,0.7302028341205891,0.9403919433859553,0.978528184022474
source,0.013000000000000001,0.8151278416187454,0.7307111640842273,0.9417528579205225,0.9784752317948596
source,0.014,0.8157076831336423,0.7311332007952286,0.9425694066412629,0.9784144334761677
source,0.015,0.8156259628575917,0.7313599108776956,0.942025040827436,0.9782866209064354
source,0.016,0.8161971453734107,0.7317675159235669,0.9428415895481764,0.97832323599813
source,0.017,0.8163160821447037,0.731965743875722,0.9428415895481764,0.978192808064705
source,0.018000000000000002,0.8164257655610621,0.7321485495696525,0.9428415895481764,0.9781597935416666
source,0.019,0.8170326332979974,0.732615629984051,0.9436581382689168,0.9782016393607462
source,0.02,0.8173215998869356,0.7329157856943391,0.9439303211758302,0.9781790862924777
source,0.021,0.8177148458618324,0.7332082851099494,0.9444746869896571,0.9782052399294024
source,0.022,0.8178825191533423,0.733487740595799,0.9444746869896571,0.9781313647922483
source,0.023,0.8185338343027201,0.7338474447596596,0.9455634186173109,0.9781140424513646
source,0.024,0.8189116327485197,0.7342956535647167,0.9458356015242243,0.9781045662015585
source,0.025,0.8194017490046547,0.7345681481777814,0.9466521502449646,0.9780793977695975
source,0.026000000000000002,0.8193506744627304,0.7346644792125164,0.9463799673380512,0.9780385371554817
source,0.027,0.8196713088749584,0.7350174146282876,0.9466521502449646,0.9780699215197914
source,0.028,0.8200352869746219,0.7352611342518423,0.9471965160587915,0.978042137724138
source,0.029,0.8200197332607513,0.7354166666666667,0.9469243331518781,0.9780065078374071
source,0.03,0.8200904577358273,0.7355345407917935,0.9469243331518781,0.978016969292177
source,0.031,0.8207179093471467,0.7360359276634989,0.9477408818726184,0.9780614304749491
source,0.032,0.8207052070619157,0.7360147571881139,0.9477408818726184,0.9780101084060633
source,0.033,0.8206721967944648,0.7361411953469714,0.947468698965705,0.97797186315564
source,0.034,0.8208342273428613,0.7362297909896899,0.9477408818726184,0.9779797092467173
source,0.035,0.8208190137569951,0.7363858902845218,0.947468698965705,0.9779440793599865
source,0.036000000000000004,0.8207734277804013,0.7364913689281413,0.9471965160587915,0.9778545120406774
source,0.037,0.8208798913576637,0.7366688082235785,0.9471965160587915,0.9778702042228322
source,0.038,0.8210219226188894,0.736905526992288,0.9471965160587915,0.977891127132372
source,0.039,0.8210270015546781,0.7369139918852691,0.9471965160587915,0.9778424204271787
source,0.04,0.8213386673964254,0.7370705244122966,0.9477408818726184,0.977806790540448
source,0.041,0.8214453217590558,0.7372482816833473,0.9477408818726184,0.9778224827226027
source,0.042,0.82151645325156,0.7373668341708542,0.9477408818726184,0.9778329441773725
source,0.043000000000000003,0.8215698168854257,0.7374557735606305,0.9477408818726184,0.97784079026845
source,0.044,0.8220032022703203,0.7376337167216279,0.9485574305933587,0.9778564824506049
source,0.045,0.8221172132157384,0.737642279692716,0.9488296135002722,0.9778077757454117
source,0.046,0.8221706225521603,0.7377312952534191,0.9488296135002722,0.9778156218364891
source,0.047,0.8223024501367397,0.7377695526231092,0.9491017964071856,0.9777695304949883
source,0.048,0.8223736977999578,0.7378882987284726,0.9491017964071856,0.9777799919497582
source,0.049,0.8225411879584337,0.7379859937213233,0.9493739793140991,0.9777391313356424
source,0.05,0.8225946587465308,0.7380751117014853,0.9493739793140991,0.9777469774267198
source,0.051000000000000004,0.8227194741543721,0.7382831373812208,0.9493739793140991,0.9777652849725671
source,0.052000000000000005,0.822724665216559,0.7382917891515322,0.9493739793140991,0.9777165782673739
source,0.053,0.8226745124163402,0.7383896564224433,0.9491017964071856,0.977675717653258
source,0.054,0.8225455440302458,0.7383561643835616,0.9488296135002722,0.9775243668102933
source,0.055,0.8226953226329932,0.7384243401168648,0.9491017964071856,0.977480890832485
source,0.056,0.8228934853169335,0.7385731559854898,0.9493739793140991,0.9774939676509473
source,0.057,0.8229113475400618,0.7386029263573703,0.9493739793140991,0.9774965830146398
source,0.058,0.823000680259747,0.7387518142235123,0.9493739793140991,0.9775096598331022
source,0.059000000000000004,0.823000680259747,0.7387518142235123,0.9493739793140991,0.9775096598331022
source,0.06,0.8230595360759905,0.7388499072505847,0.9493739793140991,0.9774687992189863
source,0.061,0.8230595360759905,0.7388499072505847,0.9493739793140991,0.9774687992189863
source,0.062,0.8229059226117752,0.7389567953527774,0.9488296135002722,0.9773792318996772
source,0.063,0.8228201882954431,0.7389953600968328,0.9485574305933587,0.9773331405581764
source,0.064,0.8225950564202873,0.7389830508474576,0.9480130647795318,0.9772331117840976
source,0.065,0.8226487420759974,0.7390725269403077,0.9480130647795318,0.977240957875175
source,0.066,0.8226540028553826,0.7390812949059498,0.9480130647795318,0.9771922511699818
source,0.067,0.8227129778497972,0.7391795865633075,0.9480130647795318,0.9771513905558658
source,0.068,0.8227540689437556,0.7392480717199047,0.9480130647795318,0.9771079145780575
